palabra,conteo_df
abadoblitas,11
anf,17
años,16
bolivia,34
candidato,42
candidatura,19
carlos,25
carlosdmesag,266
ciudadanos,21
co,126
confirma,9
democracia,9
democratasbo,14
evo,15
evoespueblo,17
fri,18
fulnnsskp5,21
gobierno,32
historia,14
https,129
jaimepazzamora,18
katuarkonada,12
mesa,42
monolargavista,9
morales,10
nlagunaq,11
notibolgroup,17
noticiasfides,28
país,9
presidencia,15
presidente,22
respuesta,24
rt,149
sdoriamedina,11
solparabolivia,11
sumaj_warmi,10
valeqinaya,9
vía,21
youtube,60
