Summary:
Estimated Reach,127026
Impressions,157136
Tweets,100
Contributors,71

Activity:
Period,Tweets
2018-10-07 00:50 UTC,10
2018-10-07 00:55 UTC,7
2018-10-07 01:00 UTC,18
2018-10-07 01:05 UTC,11
2018-10-07 01:10 UTC,7
2018-10-07 01:15 UTC,13
2018-10-07 01:20 UTC,5
2018-10-07 01:25 UTC,5
2018-10-07 01:30 UTC,8
2018-10-07 01:35 UTC,10
2018-10-07 01:40 UTC,6

Tweet Types:
Type,Count
Regular,7
Replies,44
Retweets,49

Exposure:
Range,Count
0-99 Followers,68
100-999 Followers,16
1000-9999 Followers,11
10000-99999 Followers,5
100000+ Followers,0

Contributors:
Id,Screen_Name,Tweets,Mentions,Retweets,Impressions,URL
1048750621929689088,CetatopCarlitos,"RT @ivanariasduran: Saludar @carlosdmesag decisión de entrar a la arena política, de convocar a la unidad para restablecer la democracia y…",2018-10-07 01:43 UTC,0,1614,http://twitter.com/CetatopCarlitos/statuses/1048750621929689088 
1048750477658267648,CetatopCarlitos,RT @carlosdmesag: Mi respuesta: POR UN GOBIERNO DE CIUDADANOS https://t.co/fUlNNsSkp5 vía @YouTube,2018-10-07 01:42 UTC,0,1614,http://twitter.com/CetatopCarlitos/statuses/1048750477658267648 
1048750029555617792,Enrique28435961,"RT @noticiasfides: #ANF @carlosdmesag y #FRI buscan candidato a la ""Vice"" y alistan llenado de 1.000 libros de registros (Foto: FRI Oruro)…",2018-10-07 01:41 UTC,0,46,http://twitter.com/Enrique28435961/statuses/1048750029555617792 
1048750023993974784,ATBRedNacional,#Importante El presidente @evoespueblo hablará sobre la candidatura de @carlosdmesag este domingo a las 22:00 en en… https://t.co/b8OMBdcFTy,2018-10-07 01:41 UTC,0,12333,http://twitter.com/ATBRedNacional/statuses/1048750023993974784 
1048749926421876737,CrisCoronadoM,@carlosdmesag adelante Carlos Mesa ... Bolivia está con usted,2018-10-07 01:40 UTC,0,1,http://twitter.com/CrisCoronadoM/statuses/1048749926421876737 
1048749790278942721,CrisCoronadoM,@carlosdmesag @YouTube Fuerza Carlos Mesa,2018-10-07 01:40 UTC,0,1,http://twitter.com/CrisCoronadoM/statuses/1048749790278942721 
1048749707546251265,VanMcmujica,@carlosdmesag @YouTube Ahora me pregunto quien sera el acompañante del Señor Carlos Mesa,2018-10-07 01:39 UTC,0,1,http://twitter.com/VanMcmujica/statuses/1048749707546251265 
1048749693814145030,LatAmFr,"RT @abadoblitas: La razón por la que odio a Carlos Mesa @carlosdmesag:

Mientras la ciudad de El Alto luchaba y moría por los recursos natu…",2018-10-07 01:39 UTC,0,1565,http://twitter.com/LatAmFr/statuses/1048749693814145030 
1048749554991030275,ELEchoqueM,"El gobierno @evoespueblo empujó,grito y dio las condiciones a @carlosdmesag para que sea candidato a… https://t.co/X28dS6z0bS",2018-10-07 01:39 UTC,0,420,http://twitter.com/ELEchoqueM/statuses/1048749554991030275 
1048749402947559424,leonard_lazo,"RT @kariduenAlfaro: A mí @carlosdmesag me parece como esos solteros que se creen ""cotizados"" pero que luego se areglan con la ""peoresnada""…",2018-10-07 01:38 UTC,0,37,http://twitter.com/leonard_lazo/statuses/1048749402947559424 
1048749206117261313,MiminJoel,@adolfo7777 @ValeQinaya @carlosdmesag @SDoriaMedina @Generacion_Evo_ @Diputados_Bol @Es_Kahlo @avsix @CuadernosGE… https://t.co/iqZq8I0I5O,2018-10-07 01:37 UTC,0,1,http://twitter.com/MiminJoel/statuses/1048749206117261313 
1048749160890093568,AlfredoMarty,RT @carlosdmesag: Mi respuesta: POR UN GOBIERNO DE CIUDADANOS https://t.co/fUlNNsSkp5 vía @YouTube,2018-10-07 01:37 UTC,0,74,http://twitter.com/AlfredoMarty/statuses/1048749160890093568 
1048749075129143296,C3sarHernand3z,"RT @JP_Rivero: Y para el @diarioeldeber, @carlosdmesag es ya ""El mandatario"", realmente para la derecha es hoy un día de fiesta. Párenla mu…",2018-10-07 01:37 UTC,0,49079,http://twitter.com/C3sarHernand3z/statuses/1048749075129143296 
1048748872737181696,ivarbvv,@NormaPierola @GZegarrundo @carlosdmesag Lamento tanto que en todo latino america no existan politicos que quieran… https://t.co/aLK64e2VN1,2018-10-07 01:36 UTC,0,1,http://twitter.com/ivarbvv/statuses/1048748872737181696 
1048748810502066182,JoseMPando,"@carlosdmesag @YouTube Yo me apunto, para trabajar por Bolivia.",2018-10-07 01:36 UTC,0,1,http://twitter.com/JoseMPando/statuses/1048748810502066182 
1048748740775989248,Valanntain,"@carlosdmesag @YouTube Muy bien!
Ud representa actualmente de manera adecuada lo que el país necesita hoy",2018-10-07 01:35 UTC,0,1,http://twitter.com/Valanntain/statuses/1048748740775989248 
1048748367185100800,CeckG,@dbg_bo @carlosdmesag Quiere renunciar por 2da vez.,2018-10-07 01:34 UTC,0,1,http://twitter.com/CeckG/statuses/1048748367185100800 
1048748292094513152,RobertoTrill,"RT @PepePomacusi: ""PREFIERO TIRARME AL RÍO CHOQUEYAPU ANTES QUE SER CANDIDATO A LA PRESIDENCIA O SER PRESIDENTE DE BOLIVIA, ESO ME DIJO @ca…",2018-10-07 01:34 UTC,0,137,http://twitter.com/RobertoTrill/statuses/1048748292094513152 
1048748024783151105,dbg_bo,#Bolivia Cómo creerle algo a @carlosdmesag si más de 5 veces dijo que no sería candidato a las elecciones?? Que hab… https://t.co/X8dXvIRB2k,2018-10-07 01:33 UTC,0,1956,http://twitter.com/dbg_bo/statuses/1048748024783151105 
1048748010312814592,nlagunaq,"RT @PepePomacusi: ""PREFIERO TIRARME AL RÍO CHOQUEYAPU ANTES QUE SER CANDIDATO A LA PRESIDENCIA O SER PRESIDENTE DE BOLIVIA, ESO ME DIJO @ca…",2018-10-07 01:33 UTC,0,2037,http://twitter.com/nlagunaq/statuses/1048748010312814592 
1048747893161709568,patricia_olmos,La candidatura de @carlosdmesag demuestra la pluralidad democrática que existirá en las próximas elecciones en… https://t.co/4LQU3HXXug,2018-10-07 01:32 UTC,0,490,http://twitter.com/patricia_olmos/statuses/1048747893161709568 
1048747618485096448,Juan_Ayala27,"RT @PepePomacusi: ""PREFIERO TIRARME AL RÍO CHOQUEYAPU ANTES QUE SER CANDIDATO A LA PRESIDENCIA O SER PRESIDENTE DE BOLIVIA, ESO ME DIJO @ca…",2018-10-07 01:31 UTC,0,14,http://twitter.com/Juan_Ayala27/statuses/1048747618485096448 
1048747430211178496,LemaCasimira,"RT @fabiana18146388: @redbolivision 
@telepaisunitel 
@LemaCasimira 
@carlosdmesag  
Fui brutal mente  agredida por una Carabinera ;( https…",2018-10-07 01:30 UTC,0,25471,http://twitter.com/LemaCasimira/statuses/1048747430211178496 
1048747328142753793,patricia_olmos,"RT @nlagunaq: Carlos Mesa (@carlosdmesag) con ""gorrita y bandera"" rosadas. https://t.co/V1cVUk8sEI",2018-10-07 01:30 UTC,0,490,http://twitter.com/patricia_olmos/statuses/1048747328142753793 
1048747141617864710,Pensardiferente,"RT @dbg_bo: @Pensardiferente @carlosdmesag Todos sabemos que Mesa es el caballo de Troya, para los oficialistas va a ser quien avale la can…",2018-10-07 01:29 UTC,0,3179,http://twitter.com/Pensardiferente/statuses/1048747141617864710 
1048747106427592705,Valanntain,RT @carlosdmesag: Mi respuesta: POR UN GOBIERNO DE CIUDADANOS https://t.co/fUlNNsSkp5 vía @YouTube,2018-10-07 01:29 UTC,0,1,http://twitter.com/Valanntain/statuses/1048747106427592705 
1048746859202838528,EddyParavicini,@monicanovillo @DiarioOpinion @carlosdmesag Cuantos votantes tendrán en las primarias del FRI?,2018-10-07 01:28 UTC,0,1,http://twitter.com/EddyParavicini/statuses/1048746859202838528 
1048746487864348672,giancitodc,"@exilioboliviano @carlosdmesag @evoespueblo Falso, evo Morales ya estuvo habilitado por su cúpula del TCP y TSE, se… https://t.co/kl0LBVObDb",2018-10-07 01:27 UTC,0,1,http://twitter.com/giancitodc/statuses/1048746487864348672 
1048746483372253185,dbg_bo,@Pensardiferente @carlosdmesag No ofendas a los historiadores de verdad Mesa nunca estudió Historia en la UMSA ni e… https://t.co/q1zRaMlWs4,2018-10-07 01:27 UTC,0,1,http://twitter.com/dbg_bo/statuses/1048746483372253185 
1048745626811453441,jcema0162,"@abadoblitas @carlosdmesag Un punto de vista muy forzado (trabajado) para tratar d marear la perdiz, vale tu intento, pero nada cierto",2018-10-07 01:23 UTC,0,1,http://twitter.com/jcema0162/statuses/1048745626811453441 
1048745125290102786,Esperan63640343,@exilioboliviano @carlosdmesag @evoespueblo Y que querían?? Seguro que querían que el Evo sea el uníco candidato. P… https://t.co/znfmLI3xlP,2018-10-07 01:21 UTC,0,1,http://twitter.com/Esperan63640343/statuses/1048745125290102786 
1048745074853646336,CarlosSolaCond2,@carlosdmesag @YouTube Que te pasa Frente Rebolucionario de Izquierda tu eres de oposicion de direcha,2018-10-07 01:21 UTC,0,1,http://twitter.com/CarlosSolaCond2/statuses/1048745074853646336 
1048744862076555264,Tigasa120Tito,@noticiasfides @carlosdmesag 🤔,2018-10-07 01:20 UTC,0,1,http://twitter.com/Tigasa120Tito/statuses/1048744862076555264 
1048744833249148930,Tigasa120Tito,RT @noticiasfides: #ANF #Último @carlosdmesag confirma a través de sus redes sociales su participación como candidato para presidente de la…,2018-10-07 01:20 UTC,0,245,http://twitter.com/Tigasa120Tito/statuses/1048744833249148930 
1048744666588487681,MelodyTellezDu1,"RT @CallejasElmar: La historia se repite.
Antes ¿me voy?¿no me voy?, me voy,¿ renunció ?¿ no renunció? renunció.
Hoy ¿Soy candidato?¿No soy…",2018-10-07 01:19 UTC,0,4,http://twitter.com/MelodyTellezDu1/statuses/1048744666588487681 
1048744524925865984,santiagoillapa,"RT @abadoblitas: La razón por la que odio a Carlos Mesa @carlosdmesag:

Mientras la ciudad de El Alto luchaba y moría por los recursos natu…",2018-10-07 01:19 UTC,0,75,http://twitter.com/santiagoillapa/statuses/1048744524925865984 
1048744489106518017,ma540718hotmai1,@PaulinoChura @Sumaj_Warmi @MonoLargaVista @DemocratasBo @solparaBolivia @carlosdmesag Primero se impondrán los int… https://t.co/WEKruqCjle,2018-10-07 01:19 UTC,0,1,http://twitter.com/ma540718hotmai1/statuses/1048744489106518017 
1048744465383534592,martintzas,@nlagunaq @carlosdmesag Dentro de 15 años qué diremos de esto? https://t.co/uXZ3GDXtJX,2018-10-07 01:18 UTC,0,1,http://twitter.com/martintzas/statuses/1048744465383534592 
1048744439672459264,Brandon40918429,RT @carlosdmesag: Mi respuesta: POR UN GOBIERNO DE CIUDADANOS https://t.co/fUlNNsSkp5 vía @YouTube,2018-10-07 01:18 UTC,0,0,http://twitter.com/Brandon40918429/statuses/1048744439672459264 
1048744107005362177,damart87,RT @Dexanfetamina: Esperanza. @carlosdmesag https://t.co/4CQiZL7C2j,2018-10-07 01:17 UTC,0,39,http://twitter.com/damart87/statuses/1048744107005362177 
1048744053452562432,santiagoillapa,"RT @kariduenAlfaro: A mí @carlosdmesag me parece como esos solteros que se creen ""cotizados"" pero que luego se areglan con la ""peoresnada""…",2018-10-07 01:17 UTC,0,75,http://twitter.com/santiagoillapa/statuses/1048744053452562432 
1048743992417013765,martintzas,@nlagunaq @carlosdmesag Dentro de 15 años veremos esto igual? https://t.co/meRChutYwu,2018-10-07 01:17 UTC,0,1,http://twitter.com/martintzas/statuses/1048743992417013765 
1048743961886642176,VladiSanchezEsc,"RT @PepePomacusi: ""PREFIERO TIRARME AL RÍO CHOQUEYAPU ANTES QUE SER CANDIDATO A LA PRESIDENCIA O SER PRESIDENTE DE BOLIVIA, ESO ME DIJO @ca…",2018-10-07 01:16 UTC,0,2970,http://twitter.com/VladiSanchezEsc/statuses/1048743961886642176 
1048743893427281920,JosePed51879103,@carlosdmesag @YouTube No hablen necedades esté donde esté Carlos Mesa el pueblo lo apoyará y lo va a pulverizar a evaristo,2018-10-07 01:16 UTC,0,1,http://twitter.com/JosePed51879103/statuses/1048743893427281920 
1048743602497748992,santosdtno,@NotiBolGroup @jaimepazzamora @carlosdmesag Jajajajaja,2018-10-07 01:15 UTC,0,1,http://twitter.com/santosdtno/statuses/1048743602497748992 
1048743576354611201,El_Deshabitado,"RT @ValeQinaya: Las y los del MAS saludamos el deseo de candidatura de Mesa, eso es democracia. La pregunta ahora es: será que ahora @carlo…",2018-10-07 01:15 UTC,0,87,http://twitter.com/El_Deshabitado/statuses/1048743576354611201 
1048743560869289986,VladiSanchezEsc,"RT @kariduenAlfaro: A mí @carlosdmesag me parece como esos solteros que se creen ""cotizados"" pero que luego se areglan con la ""peoresnada""…",2018-10-07 01:15 UTC,0,2970,http://twitter.com/VladiSanchezEsc/statuses/1048743560869289986 
1048743436340396034,santiagoillapa,RT @umdelaire: @tuffiare 1. No hay q ser un genio para saber la respuesta. Las plataformas las armaron @UnidadNacional1 y @DemocratasBo por…,2018-10-07 01:14 UTC,0,75,http://twitter.com/santiagoillapa/statuses/1048743436340396034 
1048743120677076995,abadoblitas,"RT @Nelita98734925: @abadoblitas @hombre__libre @MFuentesElAlto @carlosdmesag El MAS tiene todo el derecho de participar y ganar, pero no p…",2018-10-07 01:13 UTC,0,350,http://twitter.com/abadoblitas/statuses/1048743120677076995 
1048742706480959488,Betoterrazas2,"@NormaPierola @carlosdmesag Y usted q representa, los diputados q hace años solo sangran al pais, gritan un rato, i… https://t.co/mjQ7G8yPmJ",2018-10-07 01:12 UTC,0,1,http://twitter.com/Betoterrazas2/statuses/1048742706480959488 
1048742701112479745,AbdIzhim,"@carlosdmesag @YouTube en el hipotetico (y que se quede asi, en hipotetico por favor) escenario en que usted nuevam… https://t.co/PvivNOj5xR",2018-10-07 01:11 UTC,0,1,http://twitter.com/AbdIzhim/statuses/1048742701112479745 
1048742594941997056,IntegConsultant,"RT @amilcarbarral: Antes de lanzar candidaturas Presidenciales, no sería primero defender el 21F y luego hacer una gran alianza?
seremos fu…",2018-10-07 01:11 UTC,0,566,http://twitter.com/IntegConsultant/statuses/1048742594941997056 
1048742571164520448,EdinBurg77,@noticiasfides @carlosdmesag Anciano limosnero,2018-10-07 01:11 UTC,0,1,http://twitter.com/EdinBurg77/statuses/1048742571164520448 
1048742493314011136,NatachaBarahon1,@ATBRedNacional @ATBDigital @evoespueblo @carlosdmesag A ese asno quién quería escucharle? Estamos hartos de su pés… https://t.co/Zfesm7AcVG,2018-10-07 01:11 UTC,0,1,http://twitter.com/NatachaBarahon1/statuses/1048742493314011136 
1048742171908739079,cimar_ortega,@NormaPierola @carlosdmesag Usted sangra por la herida porque sabe que no tendrá espacio esta vez tiene que retirar… https://t.co/4o0yS9NAqE,2018-10-07 01:09 UTC,0,1,http://twitter.com/cimar_ortega/statuses/1048742171908739079 
1048742148051484673,vicogo_,@MaritaPatino @carloswalcala @abadoblitas @EduardoERocaD @carlosdmesag Maleante por haber hecho matar a tanta gente… https://t.co/gtAext7aPW,2018-10-07 01:09 UTC,0,1,http://twitter.com/vicogo_/statuses/1048742148051484673 
1048742027641466880,dbg_bo,"Es por eso que @carlosdmesag es el caballo de troya en la política boliviana, fue parte de la vieja democracia pact… https://t.co/XijDtVv9fR",2018-10-07 01:09 UTC,0,1956,http://twitter.com/dbg_bo/statuses/1048742027641466880 
1048741979625021440,Alejand31105993,"RT @PepePomacusi: ""PREFIERO TIRARME AL RÍO CHOQUEYAPU ANTES QUE SER CANDIDATO A LA PRESIDENCIA O SER PRESIDENTE DE BOLIVIA, ESO ME DIJO @ca…",2018-10-07 01:09 UTC,0,200,http://twitter.com/Alejand31105993/statuses/1048741979625021440 
1048741804303155202,aborismedina1,"@ivanariasduran @carlosdmesag Tu cuate Samuel, o se suma, o se marginaliza favoreciendo al masismo...",2018-10-07 01:08 UTC,0,1,http://twitter.com/aborismedina1/statuses/1048741804303155202 
1048741652192538625,OlgaIbaez11,RT @rtp_bolivia: 2 líderes políticos reaccionaron a la postulación de Mesa. @SDoriaMedina señaló que “el desafío de todos es construir la e…,2018-10-07 01:07 UTC,0,61,http://twitter.com/OlgaIbaez11/statuses/1048741652192538625 
1048741538115850240,Espantobreve,"RT @nlagunaq: .@carlosdmesag, con 65 años y esta historia dice ser el candidato de ""futuro"". https://t.co/bI0mEKiyGU",2018-10-07 01:07 UTC,0,609,http://twitter.com/Espantobreve/statuses/1048741538115850240 
1048741426815746048,vilar_blan,@PaulinoChura @Sumaj_Warmi @MonoLargaVista @DemocratasBo @solparaBolivia @carlosdmesag Correcto! Espero que así lo… https://t.co/xB8OcfYFIJ,2018-10-07 01:06 UTC,0,1,http://twitter.com/vilar_blan/statuses/1048741426815746048 
1048741360868708352,OlgaIbaez11,"RT @SrJudaz: Podrá no caerte el tipo, tal vez no sea el indicado para llevar las riendas del país (eso pienso yo) pero @carlosdmesag resumi…",2018-10-07 01:06 UTC,0,61,http://twitter.com/OlgaIbaez11/statuses/1048741360868708352 
1048741295135645696,Guiller45544284,"RT @Rizomias: Cómo cuando @carlosdmesag se confunde y se llama renovación, después haber sido presidente de un gobierno neoliberal. Creo qu…",2018-10-07 01:06 UTC,0,104,http://twitter.com/Guiller45544284/statuses/1048741295135645696 
1048741038452629507,JulioOrellana,@AleSerrate @evoespueblo No puede porque es un candidato inhabilitado constitucionalmente y el 10 de octubre a viva… https://t.co/QJg2MdZQfL,2018-10-07 01:05 UTC,0,1,http://twitter.com/JulioOrellana/statuses/1048741038452629507 
