Id,Screen_Name,Text,Time,Retweets,Impressions,URL 
1048737631130066955,NotiBolGroup,RT @NotiBolGroup: #Bolivia Repercusiones por el mundo por el anuncio de la candidatura de Carlos Mesa a la Presidencia de Bolivia. @carlosd…,2018-10-07 00:51 UTC,0,19392,http://twitter.com/NotiBolGroup/statuses/1048737631130066955 
1048737349750771713,NotiBolGroup,@marceu_mu @carlosdmesag @RubenCostasA @SDoriaMedina @UnidadNacional1 @MAS_Bolivia @DemocratasBo @SatucoMayor… https://t.co/6ag4Ubr6mV,2018-10-07 00:50 UTC,0,1,http://twitter.com/NotiBolGroup/statuses/1048737349750771713 
1048737078455009280,rvaldivia1861,RT @noticiasfides: #ANF #Último @carlosdmesag acepta la invitación del #FRI para ser candidato en las #Elecciones2019. Dice que van a “derr…,2018-10-07 00:49 UTC,0,28,http://twitter.com/rvaldivia1861/statuses/1048737078455009280 
1048736651256758272,Sumaj_Warmi,RT @PaulinoChura: @Sumaj_Warmi @MonoLargaVista @DemocratasBo @solparaBolivia @carlosdmesag El gran perdedor de la candidatura de @carlosdme…,2018-10-07 00:47 UTC,0,5970,http://twitter.com/Sumaj_Warmi/statuses/1048736651256758272 
1048736581073481729,Sumaj_Warmi,RT @feodemonio: @Sumaj_Warmi @MonoLargaVista @DemocratasBo @solparaBolivia @carlosdmesag Seria un error elegir a revilla!,2018-10-07 00:47 UTC,0,5970,http://twitter.com/Sumaj_Warmi/statuses/1048736581073481729 
1048736454925602817,canela_cs,"Tengo 40 años menos y ya no me siento tan joven como él. ¿Qué come el señor @carlosdmesag?",2018-10-07 00:47 UTC,0,1201,http://twitter.com/canela_cs/statuses/1048736454925602817 
1048736438781661184,Nelita98734925,"@abadoblitas @hombre__libre @MFuentesElAlto @carlosdmesag El MAS tiene todo el derecho de participar y ganar, pero… https://t.co/Bd2Iw7NTwo",2018-10-07 00:47 UTC,0,1,http://twitter.com/Nelita98734925/statuses/1048736438781661184 
1048736422574919680,Zeus4Real_,"@carlosdmesag @YouTube Sumamente interesado sobre su posición política. Excelente tener un nuevo candidato y conoc… https://t.co/N4SuDpYWU0",2018-10-07 00:47 UTC,0,1,http://twitter.com/Zeus4Real_/statuses/1048736422574919680 
1048736278760632322,monicanovillo,"@DiarioOpinion @carlosdmesag Bueno, primero candidateará en las primarias!",2018-10-07 00:46 UTC,0,1,http://twitter.com/monicanovillo/statuses/1048736278760632322 
1048736213102997504,Richard21176958,"@carlosdmesag @YouTube Votare por mesa, eso le tenia decidido hace tiempo.",2018-10-07 00:46 UTC,0,1,http://twitter.com/Richard21176958/statuses/1048736213102997504 
1048736073290010624,_Niratak_,"RT @GaryQuisbertL: @carlosdmesag ¿Izquierda?, Sr Carlos Mesa no nos decepcione, la izquierda ya arruino infinidad de países en  el mundo Lo…",2018-10-07 00:45 UTC,0,23,http://twitter.com/_Niratak_/statuses/1048736073290010624 
1048735952334704641,jpablovillegasu,RT @carlosdmesag: Mi respuesta: POR UN GOBIERNO DE CIUDADANOS https://t.co/fUlNNsSkp5 vía @YouTube,2018-10-07 00:45 UTC,0,58,http://twitter.com/jpablovillegasu/statuses/1048735952334704641 
1048735709442572288,Nelita98734925,"@abadoblitas @carlosdmesag De que lugar de Bolivia es usted? si el 2003 no estaba en La Paz o en El Alto, no creo q… https://t.co/eIGIVLFnqx",2018-10-07 00:44 UTC,0,1,http://twitter.com/Nelita98734925/statuses/1048735709442572288 
1048735694561189888,CinthyaMendozaV,RT @noticiasfides: #ANF El Movimiento Demócrata Social respalda la decisión de @carlosdmesag de ir como candidato presidencial por #FRI. Di…,2018-10-07 00:44 UTC,0,887,http://twitter.com/CinthyaMendozaV/statuses/1048735694561189888 
1048735539560628225,NotiBolGroup,"RT @NotiBolGroup: #Bolivia es esta la fila de los ""candidatos del futuro"" o la fila del CARMELO. @carlosdmesag @RubenCostasA @SDoriaMedina…",2018-10-07 00:43 UTC,0,19392,http://twitter.com/NotiBolGroup/statuses/1048735539560628225 
1048735157933543425,herbertmijail,"RT @nlagunaq: .@carlosdmesag, con 65 años y esta historia dice ser el candidato de ""futuro"". https://t.co/bI0mEKiyGU",2018-10-07 00:42 UTC,0,40,http://twitter.com/herbertmijail/statuses/1048735157933543425 
1048734896196386816,betococo11,@abadoblitas @carlosdmesag A mi no me vendan que la gente de patriota salio en octubre hubo mucha desinformación po… https://t.co/x9ikx0j8HL,2018-10-07 00:40 UTC,0,1,http://twitter.com/betococo11/statuses/1048734896196386816 
1048734633771372546,x3ndrix,RT @carlosdmesag: Mi respuesta: POR UN GOBIERNO DE CIUDADANOS https://t.co/fUlNNsSkp5 vía @YouTube,2018-10-07 00:39 UTC,0,29,http://twitter.com/x3ndrix/statuses/1048734633771372546 
1048734567690129408,betococo11,@abadoblitas @carlosdmesag Yo lo vi en vivo y en dirécto no por tele veía pasar a los muertos por la puerta de mi c… https://t.co/bWRdN3BCD1,2018-10-07 00:39 UTC,0,1,http://twitter.com/betococo11/statuses/1048734567690129408 
1048734444398546945,Guiller45544284,"RT @bitduarte: @carlosdmesag @YouTube GOBIERNO DE ANCIANOS..! ""DONDE ESTA SU RENOVACIÓN GENERACIONAL""?? 🤣😂 #MNR #MIR #ADN https://t.co/ZpQd…",2018-10-07 00:39 UTC,0,104,http://twitter.com/Guiller45544284/statuses/1048734444398546945 
1048734441751949312,NatachaBarahon1,RT @noticiasfides: #ANF El Movimiento Demócrata Social respalda la decisión de @carlosdmesag de ir como candidato presidencial por #FRI. Di…,2018-10-07 00:39 UTC,0,103,http://twitter.com/NatachaBarahon1/statuses/1048734441751949312 
1048734351209517056,MiguelLangdon,"@murillavo @NormaPierola @carlosdmesag de que hablas viejo, yo apoyo a samuel, al menos ese tipo estoy seguro que n… https://t.co/FGpFfsuu42",2018-10-07 00:38 UTC,0,1,http://twitter.com/MiguelLangdon/statuses/1048734351209517056 
